formula,formation_energy,e_hull,density,volume,nsites,stability
Ac2O3,-3.737668289999997,0.0,9.109129867325777,91.51122386046316,5,1
AgI,-0.467759898333332,0.0,5.809898805745882,268.4034289336924,8,1
Al2Se3,-1.0088235364375011,0.0,3.824586748501788,252.55345149639967,10,1
Al2Te3,-0.559024813749999,0.0,4.155653863056867,1396.1935742271555,40,1
Al2Te5,-0.401939997142855,0.0,4.782126199336237,240.2763278172873,7,1
Al4C3,-0.238256372857143,0.0,2.991752250158876,79.90244024318747,7,1
AlAs,-0.627042776249999,0.0,3.701817725841658,45.71109524739804,2,1
AlH3,-0.073632082812499,0.0,1.517482771032696,65.66805385043641,8,1
AlI3,-0.955214190625,0.0,3.7331499892699993,725.3856847943193,16,1
AlP,-0.737248783988095,0.0,2.348192310671479,40.983457924417976,2,1
AlSb,-0.252975485,0.0,4.175546636123753,59.15180866014202,2,1
As2O5,-1.557510087142856,0.0,4.440831778137766,343.77220326522104,28,1
As2S3,-0.156509995187498,0.0,3.104445879796971,526.4141283759965,20,1
As2Se3,-0.139482853937499,0.0,4.573186524611719,561.681862836406,20,1
AsBr3,-0.860313386875,0.0,3.72693540099669,560.7410145346511,16,1
AsCl3,-0.755685861249999,0.0,2.490146680099305,483.54343255744817,16,1
AsI3,-0.478643139374998,0.0,4.447894935673874,340.20575807555747,8,1
AsS,-0.159580558906249,0.0,3.260272137661132,871.8557048070456,32,1
AsSe,-0.119492343906248,0.0,4.362593485155438,937.1541375116144,32,1
Au2S,-0.118341825937501,0.0,9.644302410870814,146.69522383506134,6,1
AuBr,-0.402991093749999,0.0,7.826089358503499,234.9855081665895,8,1
AuCl,-0.264202023750002,0.0,7.497045788439865,205.9167224305555,8,1
AuCl3,-0.323221143125,0.0,4.518647830236056,445.8713988311508,16,1
AuI,-0.265866406249999,0.0,7.791374513900841,276.1004553639798,8,1
B,0.0,0.0,2.483309878652122,86.74916330018324,12,1
B5H7,-0.095264628645833,0.0,0.958639553801726,846.837625843031,96,1
B6As,-0.209188941071428,0.0,3.589969113026614,129.317419464123,14,1
B6O,-0.8052726050000011,0.0,2.621773527017992,102.43459585845004,14,1
